,date,user_loc,message,full_name,country,country_code,geo_code
297,2020-01-12 16:49:42,Edinburgh,"@KeithRSteele @TheScotsman Keith, the majority of voters in Scotland just voted for 49 MPs who back Scottish indepe… https://t.co/rx7WoTwjMO","Edinburgh, Scotland",United Kingdom,GB,[-3.203008 55.943196]
298,2020-01-12 16:52:09,Scotland🏴󠁧󠁢󠁳󠁣󠁴󠁿,"I’m in this🤣
#AUOBGlasgow #AUOB #indyref2 #endlondonrule https://t.co/1MdS7l8oQT","Burntisland, Scotland",United Kingdom,GB,[-3.23329 56.06222]
299,2020-01-12 17:05:52,"Cardiff, Wales","When are we going to have a ‘Still Game’ or ‘Chewing The Fat’ in Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿, instead of this BBC ‘Tuckers’ pish?… https://t.co/8uQyHS2Kou","Cardiff, Wales",United Kingdom,GB,[-3.1798   51.497002]
300,2020-01-12 17:07:26,"Luncarty, Scotland","The man is a cheat, liar and has no credibility.
But his party can rule UK and do what they with 43% of the vote.… https://t.co/rsyrnsLEP6","Luncarty, Scotland",United Kingdom,GB,[-3.466093 56.45197 ]
301,2020-01-12 17:08:17,"Wick,Caithness","@BrianWhittle @Mike_Blackley The Scottish Government have a democratic mandate, four times over, to hold #indyref2… https://t.co/vOHai1q6xE","Wick, Scotland",United Kingdom,GB,[-3.087074 58.439942]
302,2020-01-12 17:28:29,Scotland🏴󠁧󠁢󠁳󠁣󠁴󠁿,@D7776698769 @goldfinch1952 @JennyLConstable Scottish voters actually do every time they’re asked in an election by… https://t.co/B6Pkhtdb2z,"Burntisland, Scotland",United Kingdom,GB,[-3.23329 56.06222]
303,2020-01-12 17:37:30,Glasgow,"I'm Scottish and proud to be Scottish, just because I don't want Scottish independence it doesn't make me any less… https://t.co/WHRua9DvZ8","Glasgow, Scotland",United Kingdom,GB,[-4.241751 55.858303]
304,2020-01-12 17:47:12,"Glasgow, Scotland",@fionahtweet @IbuMoragMartin @LesleyRiddoch @scotgov @scottishlabour @scotgp The only party who consistently offere… https://t.co/K9J0QEJvS1,"Glasgow, Scotland",United Kingdom,GB,[-4.241751 55.858303]
305,2020-01-12 18:12:51,"Montrose, Scotland",Just seen RLB giving her views on #indyref2 - almost word for word identical what some people he in Scottish labour… https://t.co/g7TEpxttSx,"Montrose, Scotland",United Kingdom,GB,[-2.469539 56.719006]
306,2020-01-12 19:21:50,Scotland,"@jamiegreeneUK So when you won the 2014 Scottish Referendum, you hold the loser to something allegedly said in a th… https://t.co/ZvR1lgnGXw","Thornliebank, Scotland",United Kingdom,GB,[-4.291422 55.794269]
